,id,name,address,symbol,url,description,chain,logo,audits,gecko_id,cmcId,category,chains,module,twitter,audit_links,oracles,tvl,change_1h,change_1d,change_7d,fdv,mcap,language,staking
0,118,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,https://makerdao.com/,"Builders of Dai, a digital currency that can be used by anyone, anywhere.
",Ethereum,https://icons.llama.fi/makerdao.jpg,2,maker,1518,CDP,['Ethereum'],maker/index.js,MakerDAO,['https://security.makerdao.com/'],['Maker'],8595652170.154476,0.687225305591312,3.141914817965713,17.150270730278976,1057594414.0,947934791.0,,
1,240,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,https://polygon.technology/,"Ethereum sidechain
",Polygon,https://icons.llama.fi/polygon.jpg,0,matic-network,3890,Chain,['Polygon'],polygon/index.js,0xPolygon,,,7453612529.514432,0.16407874371356002,1.646910965071413,30.583906159792463,9209991547.0,7374259672.0,,
2,182,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,https://lido.fi/,"Liquidity for staked assets. Daily rewards, no lock ups. Available for Ethereum, Solana, Terra & Kusama.",Multi-Chain,https://icons.llama.fi/lido.png,2,lido-dao,8000,Liquid Staking,"['Ethereum', 'Solana', 'Moonriver', 'Terra']",lido/index.js,LidoFinance,['https://github.com/lidofinance/audits'],,6830818296.420803,1.1051836052255624,6.988810390135328,47.90159777922676,1597378285.0,797184876.0,,
3,1,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,https://info.uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum.
",Multi-Chain,https://icons.llama.fi/uniswap.png,2,uniswap,7083,Dexes,"['Ethereum', 'Polygon', 'Arbitrum', 'Optimism', 'Celo']",uniswap/index.js,Uniswap,"['https://github.com/Uniswap/uniswap-v3-core/tree/main/audits', 'https://github.com/Uniswap/uniswap-v3-periphery/tree/main/audits', 'https://github.com/ConsenSys/Uniswap-audit-report-2018-12']",[],5936272335.028112,-0.2572790348518623,2.494428890947489,23.640643847702748,7424280012.0,3389106490.0,,
4,3,Curve,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,https://curve.fi,Curve is a decentralized exchange liquidity pool on Ethereum designed for extremely efficient stablecoin trading,Multi-Chain,https://icons.llama.fi/curve.png,2,curve-dao-token,6538,Dexes,"['Ethereum', 'Polygon', 'Avalanche', 'Fantom', 'Arbitrum', 'xDai', 'Moonbeam', 'Optimism', 'Harmony', 'Aurora']",curve/index.js,CurveFinance,['https://curve.fi/audits'],[],5885454107.379912,0.08194154121352426,2.543229345888591,16.518043941271074,4171980901.0,495073177.0,Vyper,712494891.5569135
5,2,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,https://wbtc.network/,"Wrapped Bitcoin (WBTC) is the first ERC20 token backed 1:1 with Bitcoin.
Completely transparent. 100% verifiable. Community led.",Ethereum,https://icons.llama.fi/wbtc.png,2,wrapped-bitcoin,3717,Bridge,['Ethereum'],wbtc.js,WrappedBTC,['https://wbtc.network/dashboard/audit'],[],5558653787.301417,0.6456611570248043,6.66178606880321,13.242352631314901,5554439011.0,5554439011.0,,
6,111,AAVE V2,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,"https://aave.com
",Aave is an Open Source and Non-Custodial protocol to earn interest on deposits and borrow assets,Multi-Chain,https://icons.llama.fi/aave-v2.png,2,aave,7278,Lending,"['Ethereum', 'Polygon', 'Avalanche']",aave/index.js,AaveAave,['https://aave.com/security'],['Chainlink'],5033457240.579703,0.25568103625617766,3.259811602934718,17.467428291585406,1551835840.0,1354535864.0,,208872296.46382987
7,319,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,https://www.convexfinance.com/,Convex simplifies your Curve-boosting experience to maximize your yields.,Ethereum,https://icons.llama.fi/convex-finance.jpg,2,convex-finance,9903,Yield,['Ethereum'],convex/index.js,ConvexFinance,['https://github.com/convex-eth/platform/blob/main/audit/Convex%20Platform%20Security%20Audit%20Report.pdf'],,3924034282.1597037,-0.06970418917731536,4.781902732542179,18.796192118207685,749994925.0,491594926.0,,388762050.2770081
8,494,JustLend,tron:TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9,JST,https://justlend.just.network,JustLend is a TRON-powered coin market protocol aimed at establishing fund pools whose interest rates are determined by an algorithm based on the supply and demand of TRON assets.,Tron,https://icons.llama.fi/justlend.png,2,just,5488,Lending,['Tron'],justlend.js,DeFi_JUST,['https://www.justlend.link/docs/justlend_audit_en.pdf'],['WINkLink'],3355424034.2049193,-0.2066713450175115,2.1575734311585393,5.0427768016334085,309258611.0,278085343.0,,
9,194,PancakeSwap,bsc:0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,CAKE,https://pancakeswap.finance/,The #1 AMM and yield farm on Binance Smart Chain,Binance,https://icons.llama.fi/pancakeswap.jpg,2,pancakeswap-token,1165,Dexes,['Binance'],pancake-swap.js,PancakeSwap,['https://docs.pancakeswap.finance/#is-it-safe'],[],3061560294.809129,-0.2874643817754645,3.9958370313052853,9.035585039050304,2665717070.0,513942912.0,,771788740.0859154
